Melakartha,Quotient,Remainder,Raga,S,R,G,M,P,D,N,Chakra,R Offset,G Offset,M Offset,D Offset,N Offset,Mode,Hindustani Thaat,Carnatic Common Name,D Signature,E Signature,F Signature,A Signature,B Signature,Key Signature
1,0,1,Kanakangi,1,1,1,1,1,1,1,Indu,-1,-2,0,-1,-2,,,,_D,__E,=F,_A,__B,C _D __E =F G _A __B
2,0,2,Ratnangi,1,1,1,1,1,1,2,Indu,-1,-2,0,-1,-1,,,,_D,__E,=F,_A,_B,C _D __E =F G _A _B
3,0,3,Ganamurti,1,1,1,1,1,1,3,Indu,-1,-2,0,-1,0,,,,_D,__E,=F,_A,=B,C _D __E =F G _A =B
4,0,4,Vanaspati,1,1,1,1,1,2,2,Indu,-1,-2,0,0,-1,,,,_D,__E,=F,=A,_B,C _D __E =F G =A _B
5,0,5,Manavati,1,1,1,1,1,2,3,Indu,-1,-2,0,0,0,,,,_D,__E,=F,=A,=B,C _D __E =F G =A =B
6,1,0,Tanarupi,1,1,1,1,1,3,3,Indu,-1,-2,0,1,0,,,,_D,__E,=F,^A,=B,C _D __E =F G ^A =B
7,1,1,Senavati,1,1,2,1,1,1,1,Netra,-1,-1,0,-1,-2,,,,_D,_E,=F,_A,__B,C _D _E =F G _A __B
8,1,2,Hanumatodi,1,1,2,1,1,1,2,Netra,-1,-1,0,-1,-1,Phrygian,Bhairavi,Thodi,_D,_E,=F,_A,_B,C _D _E =F G _A _B
9,1,3,Dhenuka,1,1,2,1,1,1,3,Netra,-1,-1,0,-1,0,,,,_D,_E,=F,_A,=B,C _D _E =F G _A =B
10,1,4,Natakapriya,1,1,2,1,1,2,2,Netra,-1,-1,0,0,-1,,,,_D,_E,=F,=A,_B,C _D _E =F G =A _B
11,1,5,Kokilapriya,1,1,2,1,1,2,3,Netra,-1,-1,0,0,0,,,,_D,_E,=F,=A,=B,C _D _E =F G =A =B
12,2,0,Rupavati,1,1,2,1,1,3,3,Netra,-1,-1,0,1,0,,,,_D,_E,=F,^A,=B,C _D _E =F G ^A =B
13,2,1,Gayakapriya,1,1,3,1,1,1,1,Agni,-1,0,0,-1,-2,,,,_D,=E,=F,_A,__B,C _D =E =F G _A __B
14,2,2,Vakulabharanam,1,1,3,1,1,1,2,Agni,-1,0,0,-1,-1,,,,_D,=E,=F,_A,_B,C _D =E =F G _A _B
15,2,3,Mayamalavagowla,1,1,3,1,1,1,3,Agni,-1,0,0,-1,0,Double harmonic,Bhairav,,_D,=E,=F,_A,=B,C _D =E =F G _A =B
16,2,4,Chakravakam,1,1,3,1,1,2,2,Agni,-1,0,0,0,-1,,,,_D,=E,=F,=A,_B,C _D =E =F G =A _B
17,2,5,Suryakantam,1,1,3,1,1,2,3,Agni,-1,0,0,0,0,,,,_D,=E,=F,=A,=B,C _D =E =F G =A =B
18,3,0,Hatakambari,1,1,3,1,1,3,3,Agni,-1,0,0,1,0,,,,_D,=E,=F,^A,=B,C _D =E =F G ^A =B
19,3,1,Jhankaradhwani,1,2,2,1,1,1,1,Veda,0,-1,0,-1,-2,,,,=D,_E,=F,_A,__B,C =D _E =F G _A __B
20,3,2,Natabhairavi,1,2,2,1,1,1,2,Veda,0,-1,0,-1,-1,Aeolian,Asavari,,=D,_E,=F,_A,_B,C =D _E =F G _A _B
